seed,model,train_ratio,epoch,train_samples,source_loads,target_load,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift,train_loss,train_acc,train_macro_f1,source_val_loss,source_val_acc,source_val_macro_f1
42,CNN-BiLSTM-Attention,0.3,2,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.9878039975742718,0.3166208791208791,0.2738595602003066,1.5400754529139935,0.6132922903549617,0.5377339498327086
42,CNN-BiLSTM-Attention,0.3,3,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.3714094515685196,0.5769230769230769,0.5461502547114618,0.9235408324600858,0.8552658539327963,0.8438029168667707
42,CNN-BiLSTM-Attention,0.3,4,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.8217146907533918,0.8097527472527473,0.8062428801343149,0.43736637120452726,0.9494162384260115,0.9499467660513042
42,CNN-BiLSTM-Attention,0.3,5,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.4932080035681253,0.8997252747252747,0.9004090906975989,0.25731412520500657,0.9735736528784257,0.9739350603134396
42,CNN-BiLSTM-Attention,0.3,6,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.3444188875811441,0.9237637362637363,0.9238315709239524,0.17956522440577638,0.9716641222564487,0.9719090105535612
42,CNN-BiLSTM-Attention,0.3,7,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.25049281447798344,0.9429945054945055,0.9432816786680865,0.15841824687196607,0.9403698751679516,0.9336980560588902
42,CNN-BiLSTM-Attention,0.3,8,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.19186378196700588,0.9581043956043956,0.9585093630464308,0.09847466625771438,0.9824304370558056,0.982639992816853
42,CNN-BiLSTM-Attention,0.3,9,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.16967811836646154,0.9629120879120879,0.9632871518306724,0.10302026333756642,0.9667697234882716,0.9661223564851958
42,CNN-BiLSTM-Attention,0.3,10,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.16271704468098316,0.9587912087912088,0.9591491232315461,0.1787156451839391,0.9276750246438441,0.915655326404497
42,CNN-BiLSTM-Attention,0.5,1,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.1883174957881595,0.2099629477151091,0.18376387121636434,1.7222493915258685,0.4602000686169981,0.40317323697169255
42,CNN-BiLSTM-Attention,0.5,2,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.3374736822156956,0.5928365582544257,0.5670067521819396,0.6965465804663573,0.8936323548844879,0.8821616922547126
42,CNN-BiLSTM-Attention,0.5,3,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.5780110710586919,0.8801976121860848,0.8788680712224102,0.24422049762935613,0.9696839514198219,0.9698040437181489
42,CNN-BiLSTM-Attention,0.5,4,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.2977294122279549,0.9423631123919308,0.9425394597399048,0.14661150519009536,0.9648364190463058,0.9641988280990704
42,CNN-BiLSTM-Attention,0.5,5,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.2278148565838591,0.9419514203375875,0.9423141111537774,0.1265914504121419,0.9619004610307159,0.9615521008636844
42,CNN-BiLSTM-Attention,0.5,6,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.1817800764833374,0.9526554137505147,0.9527874241074041,0.08702723941508794,0.9778383183254169,0.9784598725531272
42,CNN-BiLSTM-Attention,0.5,7,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.14919439145889535,0.9604775627830383,0.9608664485791213,0.06104838929611128,0.9877514349242463,0.9880461498938868
42,CNN-BiLSTM-Attention,0.5,8,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.11103076072154393,0.9711815561959655,0.9715234131517467,0.06991604878529999,0.9779381823225869,0.9781327329897422
42,CNN-BiLSTM-Attention,0.5,9,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.11125892160875211,0.970769864141622,0.9711382152521241,0.04416812215498401,0.9878030700361226,0.9880055292256925
42,CNN-BiLSTM-Attention,0.5,10,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.08398487029183839,0.9757101687937423,0.9759721347854946,0.04569623105217697,0.987776571234868,0.9879998837447802
42,CNN-BiLSTM-Attention,1.0,1,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.7790621166311562,0.40197287299630086,0.3805270911042968,0.7566242295431295,0.8160021570032429,0.7840649370563836
42,CNN-BiLSTM-Attention,1.0,2,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.43864179289590854,0.9140978216193999,0.9138240206932412,0.15481059598338387,0.9517373807512906,0.9498632139109201
42,CNN-BiLSTM-Attention,1.0,3,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.19725909962043614,0.9521167283189478,0.9522907917047189,0.07638183157674888,0.9858188117275971,0.9860581464189306
42,CNN-BiLSTM-Attention,1.0,4,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.11908524643600697,0.968557336621455,0.9688904170781125,0.09778790351452969,0.9662276615146462,0.9664802074842016
42,CNN-BiLSTM-Attention,1.0,5,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.12199213175945967,0.9660912453760789,0.966561697286292,0.1008690948592999,0.9590935907948163,0.9579110453880654
42,CNN-BiLSTM-Attention,1.0,6,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.08615702104651776,0.9755445951500206,0.9759499906678529,0.03321627452072609,0.9902866113955104,0.9903624085327198
42,CNN-BiLSTM-Attention,1.0,7,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.07092454362403414,0.977599671187834,0.9778970010865793,0.02999567818050618,0.9907132104957742,0.9908307415208637
42,CNN-BiLSTM-Attention,1.0,8,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.06842521600442063,0.9812988080558981,0.981641070248726,0.04260173150407861,0.9859696295913266,0.9859581015274529
42,CNN-BiLSTM-Attention,1.0,9,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.06932801978438297,0.9784217016029593,0.9787609331894259,0.05545469767341563,0.9767093388883555,0.9764447325536926
42,CNN-BiLSTM-Attention,1.0,10,4866,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.05199916838973369,0.9854089601315249,0.9856072526951969,0.01702036080466468,0.9936749860673021,0.9937964889774765
2024,CNN1D,0.1,1,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.191338782488558,0.25933609958506226,0.2449356582124161,2.279130915954516,0.10185491608781334,0.01897110776146316
2024,CNN1D,0.1,2,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.9319916463986473,0.6431535269709544,0.6024364566215056,2.1371889921918332,0.35808371437928294,0.26005111834715067
2024,CNN1D,0.1,3,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.725708993144055,0.7717842323651453,0.7446891761903691,1.8779092335816934,0.48984091690694925,0.4096972002248747
2024,CNN1D,0.1,4,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.5351598480430382,0.8298755186721992,0.8114744892447948,1.5856420034297998,0.7664441415775508,0.7104016115586621
2024,CNN1D,0.1,5,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.3713539260056997,0.8526970954356846,0.843001699025826,1.3521840551630016,0.7086535883981461,0.6651177072382343
2024,CNN1D,0.1,6,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.20529496521376,0.8713692946058091,0.8670588145915332,1.1467886233355955,0.7608010336871706,0.7325496497840883
2024,CNN1D,0.1,7,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.1032964629256379,0.9024896265560166,0.8997780636587175,0.9670409821393747,0.9059895334454516,0.8940158287754204
2024,CNN1D,0.1,8,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.9691891408065543,0.9377593360995851,0.937084259323318,0.8420467092661165,0.9135502402005323,0.8954639463543718
2024,CNN1D,0.1,9,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.8835623420125716,0.9315352697095436,0.9300280804423403,0.7450506557531155,0.9436597852681933,0.9341813247643841
2024,CNN1D,0.1,10,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.7925823998649091,0.9273858921161826,0.9256778311130006,0.6531447241040437,0.938111198113525,0.9252780195194891
